"","Start","ID","Type","Via","Altitude(ft/m)","Position (lat/long)","Distance (leg/total)","Name","URL"
"3888","•","SINAD","FIX","G234 (AWY-LO)","35,000 / 10,668","53.55861 / 57.75528","36  / 3093 nm","","https://flightplandatabase.com/plan/472157"
"3889","•","LP","NDB","G234 (AWY-LO)","35,000 / 10,668","53.96667 / 54.78333","108  / 3201 nm","SHAFRANOVO NDB","https://flightplandatabase.com/plan/472157"
"3890","•","UWUK","APT","G234 (AWY-LO)","35,000 / 10,668","54.43333 / 53.38333","56  / 3258 nm","","https://flightplandatabase.com/plan/472157"
"3891","•","UWKB","APT","G234 (AWY-LO)","35,000 / 10,668","54.64000 / 52.80167","23  / 3281 nm","","https://flightplandatabase.com/plan/472157"
"3892","•","BENOL","FIX","G234 (AWY-LO)","35,000 / 10,668","55.07167 / 51.48333","52  / 3334 nm","","https://flightplandatabase.com/plan/472157"
"3893","•","UWKI","APT","G234 (AWY-LO)","35,000 / 10,668","55.33333 / 50.65000","32  / 3366 nm","","https://flightplandatabase.com/plan/472157"
"3894","•","KZN","VOR","G234 (AWY-LO)","35,000 / 10,668","55.60583 / 49.27250","49  / 3416 nm","KAZAN VOR-DME","https://flightplandatabase.com/plan/472157"
"3895","•","GOLIR","FIX","A300 (AWY-LO)","35,000 / 10,668","55.88333 / 46.48333","95  / 3512 nm","","https://flightplandatabase.com/plan/472157"
"3896","•","OK","NDB","A300 (AWY-LO)","35,000 / 10,668","56.00000 / 45.03139","49  / 3561 nm","LYSKOVO NDB","https://flightplandatabase.com/plan/472157"
"3897","•","RP","NDB","R488 (AWY-LO)","35,000 / 10,668","55.80000 / 43.16472","63  / 3625 nm","SOSNOVSKOYE NDB","https://flightplandatabase.com/plan/472157"
"3898","•","CW","NDB","R480 (AWY-LO)","35,000 / 10,668","55.86778 / 41.78444","46  / 3672 nm","KRASNAYA GORBATKA NDB","https://flightplandatabase.com/plan/472157"
"3899","•","MF","NDB","R489 (AWY-LO)","35,000 / 10,668","56.02611 / 39.63417","72  / 3745 nm","LARIONOVO NDB","https://flightplandatabase.com/plan/472157"
"3900","•","ITINA","FIX","CRDR9 (AWY-LO)","35,000 / 10,668","55.81667 / 38.66667","34  / 3780 nm","","https://flightplandatabase.com/plan/472157"
"3901","•","RW","NDB","CRDR9 (AWY-LO)","35,000 / 10,668","55.71139 / 38.22806","16  / 3796 nm","MARYINO NDB","https://flightplandatabase.com/plan/472157"
"3902","•","VINLI","FIX","6E5 (AWY-LO)","35,000 / 10,668","55.86667 / 37.85000","15  / 3812 nm","","https://flightplandatabase.com/plan/472157"
"3903","•","BP","NDB","6E5 (AWY-LO)","35,000 / 10,668","55.90000 / 37.68333","5  / 3818 nm","CHELOBITYEVO NDB","https://flightplandatabase.com/plan/472157"
"3904","•","AR","NDB","6E2 (AWY-LO)","35,000 / 10,668","55.98333 / 36.79917","30  / 3848 nm","BUZHAROVO NDB","https://flightplandatabase.com/plan/472157"
"3905","•","BG","NDB","CRDR2 (AWY-LO)","35,000 / 10,668","55.83333 / 34.85972","65  / 3914 nm","KARMANOVO NDB","https://flightplandatabase.com/plan/472157"
"3906","•","TU","NDB","-","35,000 / 10,668","55.85417 / 32.93917","64  / 3978 nm","BELY NDB","https://flightplandatabase.com/plan/472157"
"3907","•","AMDOR","FIX","G3 (AWY-LO)","35,000 / 10,668","56.29972 / 30.99778","70  / 4049 nm","","https://flightplandatabase.com/plan/472157"
"3908","•","ABAGA","FIX","G350 (AWY-LO)","35,000 / 10,668","56.50500 / 28.12833","96  / 4145 nm","","https://flightplandatabase.com/plan/472157"
"3909","•","ARKOL","FIX","M864 (AWY-LO)","35,000 / 10,668","56.54667 / 26.61000","50  / 4195 nm","","https://flightplandatabase.com/plan/472157"
"3910","•","SORES","FIX","UM864 (AWY-HI)","35,000 / 10,668","56.60194 / 24.82472","59  / 4254 nm","","https://flightplandatabase.com/plan/472157"
"3911","•","ATRAK","FIX","M864 (AWY-LO)","35,000 / 10,668","56.59111 / 23.84306","32  / 4287 nm","","https://flightplandatabase.com/plan/472157"
"3912","•","KOROT","FIX","M864 (AWY-LO)","35,000 / 10,668","56.54917 / 22.00000","61  / 4348 nm","","https://flightplandatabase.com/plan/472157"
"3913","•","LIE","VOR","M864 (AWY-LO)","35,000 / 10,668","56.51856 / 21.09197","30  / 4378 nm","","https://flightplandatabase.com/plan/472157"
"3914","•","LASMA","FIX","M864 (AWY-LO)","35,000 / 10,668","56.43528 / 20.21528","29  / 4407 nm","","https://flightplandatabase.com/plan/472157"
"3915","•","ADAXA","FIX","M864 (AWY-LO)","35,000 / 10,668","56.29778 / 18.89833","44  / 4452 nm","","https://flightplandatabase.com/plan/472157"
"3916","•","NINTA","FIX","M864 (AWY-LO)","35,000 / 10,668","56.22889 / 18.28556","20  / 4473 nm","","https://flightplandatabase.com/plan/472157"
"3917","•","KOLJA","FIX","M864 (AWY-LO)","35,000 / 10,668","56.00000 / 16.81467","51  / 4524 nm","","https://flightplandatabase.com/plan/472157"
"3918","•","ELVIX","FIX","M611 (AWY-LO)","35,000 / 10,668","55.41186 / 14.09422","98  / 4623 nm","","https://flightplandatabase.com/plan/472157"
"3919","•","NISLO","FIX","L975 (AWY-LO)","35,000 / 10,668","55.48250 / 12.88472","41  / 4664 nm","","https://flightplandatabase.com/plan/472157"
"3920","•","KOKAK","FIX","L975 (AWY-LO)","35,000 / 10,668","55.49139 / 12.71500","5  / 4670 nm","","https://flightplandatabase.com/plan/472157"
"3921","•","ODN","VOR","UL975 (AWY-HI)","35,000 / 10,668","55.58101 / 10.65299","70  / 4740 nm","ODIN VOR-DME","https://flightplandatabase.com/plan/472157"
"3922","•","RIDSI","FIX","L975 (AWY-LO)","35,000 / 10,668","55.59167 / 9.99417","22  / 4762 nm","","https://flightplandatabase.com/plan/472157"
"3923","•","VES","VOR","UL975 (AWY-HI)","35,000 / 10,668","55.60315 / 8.29996","57  / 4820 nm","VESTA VOR-DME","https://flightplandatabase.com/plan/472157"
"3924","•","GOLUM","FIX","L975 (AWY-LO)","35,000 / 10,668","55.45000 / 5.28333","102  / 4923 nm","","https://flightplandatabase.com/plan/472157"
"3925","•","LESRA","FIX","L975 (AWY-LO)","35,000 / 10,668","55.38556 / 5.00000","10  / 4933 nm","","https://flightplandatabase.com/plan/472157"
"3926","•","INPUT","FIX","UL975 (AWY-HI)","35,000 / 10,668","55.30500 / 4.65139","12  / 4946 nm","","https://flightplandatabase.com/plan/472157"
"3927","•","ROPAL","FIX","UL975 (AWY-HI)","35,000 / 10,668","55.13806 / 3.94528","26  / 4972 nm","","https://flightplandatabase.com/plan/472157"
"3928","•","ASKAM","FIX","UL975 (AWY-HI)","35,000 / 10,668","54.96306 / 3.23056","26  / 4999 nm","","https://flightplandatabase.com/plan/472157"
"3929","•","NIGOL","FIX","UL975 (AWY-HI)","35,000 / 10,668","54.90500 / 2.49222","25  / 5025 nm","","https://flightplandatabase.com/plan/472157"
"3930","•","OGDIN","FIX","UL975 (AWY-HI)","22,800 / 6,949","53.84694 / 0.58083","92  / 5117 nm","","https://flightplandatabase.com/plan/472157"
"3931","O","EGCC","APT","-","0 / 0","53.34714 / -2.28395","106  / 5223 nm","Manchester Intl","https://flightplandatabase.com/plan/472157"
"3932","O","EGLL","APT","-","0 / 0","51.47122 / -0.46098","- / 0 nm","London Heathrow","https://flightplandatabase.com/plan/792889"
"3933","•","CLN11","FIX","-","26,700 / 8,138","51.90546 / 1.42891","75  / 75 nm","","https://flightplandatabase.com/plan/792889"
"3934","•","REDFA","FIX","L620 (AWY-LO)","35,000 / 10,668","52.11459 / 2.48795","41  / 116 nm","","https://flightplandatabase.com/plan/792889"
"3935","•","TULIP","FIX","L620 (AWY-LO)","35,000 / 10,668","52.36775 / 3.85731","52  / 168 nm","","https://flightplandatabase.com/plan/792889"
"3936","•","BEDUM","FIX","UZ700 (AWY-HI)","35,000 / 10,668","53.34817 / 6.58887","115  / 283 nm","","https://flightplandatabase.com/plan/792889"
"3937","•","LEKMO","FIX","UZ700 (AWY-HI)","35,000 / 10,668","53.44167 / 6.90889","12  / 296 nm","","https://flightplandatabase.com/plan/792889"
"3938","•","NIKIL","FIX","UZ700 (AWY-HI)","35,000 / 10,668","53.55778 / 7.24889","14  / 310 nm","","https://flightplandatabase.com/plan/792889"
"3939","•","MOVAX","FIX","UZ700 (AWY-HI)","35,000 / 10,668","54.08667 / 9.00000","69  / 380 nm","","https://flightplandatabase.com/plan/792889"
"3940","•","GITER","FIX","UZ700 (AWY-HI)","35,000 / 10,668","54.64444 / 11.00000","77  / 458 nm","","https://flightplandatabase.com/plan/792889"
"3941","•","CDA","VOR","UZ700 (AWY-HI)","35,000 / 10,668","55.00150 / 12.37921","52  / 510 nm","CODAN VOR-DME","https://flightplandatabase.com/plan/792889"
"3942","•","ODARU","FIX","M611 (AWY-LO)","35,000 / 10,668","55.09583 / 12.76139","14  / 524 nm","","https://flightplandatabase.com/plan/792889"
"3943","•","MALIV","FIX","M611 (AWY-LO)","35,000 / 10,668","55.16272 / 13.03686","10  / 534 nm","","https://flightplandatabase.com/plan/792889"
"3944","•","ELVIX","FIX","M611 (AWY-LO)","35,000 / 10,668","55.41186 / 14.09422","39  / 574 nm","","https://flightplandatabase.com/plan/792889"
"3945","•","KOLJA","FIX","M611 (AWY-LO)","35,000 / 10,668","56.00000 / 16.81467","98  / 672 nm","","https://flightplandatabase.com/plan/792889"
"3946","•","NINTA","FIX","M864 (AWY-LO)","35,000 / 10,668","56.22889 / 18.28556","51  / 723 nm","","https://flightplandatabase.com/plan/792889"
"3947","•","ADAXA","FIX","M864 (AWY-LO)","35,000 / 10,668","56.29778 / 18.89833","20  / 744 nm","","https://flightplandatabase.com/plan/792889"
"3948","•","LASMA","FIX","M864 (AWY-LO)","35,000 / 10,668","56.43528 / 20.21528","44  / 789 nm","","https://flightplandatabase.com/plan/792889"
"3949","•","LIE","VOR","M864 (AWY-LO)","35,000 / 10,668","56.51856 / 21.09197","29  / 818 nm","","https://flightplandatabase.com/plan/792889"
"3950","•","KOROT","FIX","M864 (AWY-LO)","35,000 / 10,668","56.54917 / 22.00000","30  / 848 nm","","https://flightplandatabase.com/plan/792889"
"3951","•","ATRAK","FIX","M864 (AWY-LO)","35,000 / 10,668","56.59111 / 23.84306","61  / 909 nm","","https://flightplandatabase.com/plan/792889"
"3952","•","SORES","FIX","M864 (AWY-LO)","35,000 / 10,668","56.60194 / 24.82472","32  / 942 nm","","https://flightplandatabase.com/plan/792889"
"3953","•","ARKOL","FIX","UM864 (AWY-HI)","35,000 / 10,668","56.54667 / 26.61000","59  / 1001 nm","","https://flightplandatabase.com/plan/792889"
"3954","•","ABAGA","FIX","M864 (AWY-LO)","35,000 / 10,668","56.50500 / 28.12833","50  / 1051 nm","","https://flightplandatabase.com/plan/792889"
"3955","•","AMDOR","FIX","G350 (AWY-LO)","35,000 / 10,668","56.29972 / 30.99778","96  / 1148 nm","","https://flightplandatabase.com/plan/792889"
"3956","•","TU","NDB","G3 (AWY-LO)","35,000 / 10,668","55.85417 / 32.93917","70  / 1218 nm","BELY NDB","https://flightplandatabase.com/plan/792889"
"3957","•","BG","NDB","R805 (AWY-LO)","35,000 / 10,668","55.83333 / 34.85972","64  / 1283 nm","KARMANOVO NDB","https://flightplandatabase.com/plan/792889"
"3958","•","AR","NDB","CRDR2 (AWY-LO)","35,000 / 10,668","55.98333 / 36.79917","65  / 1349 nm","BUZHAROVO NDB","https://flightplandatabase.com/plan/792889"
"3959","•","BP","NDB","6E2 (AWY-LO)","35,000 / 10,668","55.90000 / 37.68333","30  / 1379 nm","CHELOBITYEVO NDB","https://flightplandatabase.com/plan/792889"
"3960","•","VINLI","FIX","6E5 (AWY-LO)","35,000 / 10,668","55.86667 / 37.85000","5  / 1385 nm","","https://flightplandatabase.com/plan/792889"
"3961","•","RW","NDB","6E5 (AWY-LO)","35,000 / 10,668","55.71139 / 38.22806","15  / 1400 nm","MARYINO NDB","https://flightplandatabase.com/plan/792889"
"3962","•","ITINA","FIX","CRDR9 (AWY-LO)","35,000 / 10,668","55.81667 / 38.66667","16  / 1417 nm","","https://flightplandatabase.com/plan/792889"
"3963","•","MF","NDB","CRDR9 (AWY-LO)","35,000 / 10,668","56.02611 / 39.63417","34  / 1452 nm","LARIONOVO NDB","https://flightplandatabase.com/plan/792889"
"3964","•","CW","NDB","R489 (AWY-LO)","35,000 / 10,668","55.86778 / 41.78444","72  / 1524 nm","KRASNAYA GORBATKA NDB","https://flightplandatabase.com/plan/792889"
"3965","•","RP","NDB","R480 (AWY-LO)","35,000 / 10,668","55.80000 / 43.16472","46  / 1571 nm","SOSNOVSKOYE NDB","https://flightplandatabase.com/plan/792889"
"3966","•","OK","NDB","R488 (AWY-LO)","35,000 / 10,668","56.00000 / 45.03139","63  / 1635 nm","LYSKOVO NDB","https://flightplandatabase.com/plan/792889"
"3967","•","GOLIR","FIX","A300 (AWY-LO)","35,000 / 10,668","55.88333 / 46.48333","49  / 1684 nm","","https://flightplandatabase.com/plan/792889"
"3968","•","KZN","VOR","A300 (AWY-LO)","35,000 / 10,668","55.60583 / 49.27250","95  / 1780 nm","KAZAN VOR-DME","https://flightplandatabase.com/plan/792889"
"3969","•","UWKI","APT","G234 (AWY-LO)","35,000 / 10,668","55.33333 / 50.65000","49  / 1830 nm","","https://flightplandatabase.com/plan/792889"
"3970","•","BENOL","FIX","G234 (AWY-LO)","35,000 / 10,668","55.07167 / 51.48333","32  / 1863 nm","","https://flightplandatabase.com/plan/792889"
"3971","•","UWKB","APT","G234 (AWY-LO)","35,000 / 10,668","54.64000 / 52.80167","52  / 1915 nm","","https://flightplandatabase.com/plan/792889"
"3972","•","UWUK","APT","G234 (AWY-LO)","35,000 / 10,668","54.43333 / 53.38333","23  / 1939 nm","","https://flightplandatabase.com/plan/792889"
"3973","•","LP","NDB","G234 (AWY-LO)","35,000 / 10,668","53.96667 / 54.78333","56  / 1995 nm","SHAFRANOVO NDB","https://flightplandatabase.com/plan/792889"
"3974","•","SINAD","FIX","G234 (AWY-LO)","35,000 / 10,668","53.55861 / 57.75528","108  / 2104 nm","","https://flightplandatabase.com/plan/792889"
"3975","•","MGR","VOR","G234 (AWY-LO)","35,000 / 10,668","53.40417 / 58.75750","36  / 2141 nm","MAGNITOGORSK VOR-DME","https://flightplandatabase.com/plan/792889"
"3976","•","TITUR","FIX","G351 (AWY-LO)","35,000 / 10,668","53.40167 / 61.15667","85  / 2227 nm","","https://flightplandatabase.com/plan/792889"
"3977","•","UAUU","APT","G111 (AWY-LO)","35,000 / 10,668","53.20667 / 63.55083","86  / 2313 nm","KOSTANAY","https://flightplandatabase.com/plan/792889"
"3978","•","DOKUT","FIX","G111 (AWY-LO)","35,000 / 10,668","52.80389 / 65.20833","64  / 2378 nm","","https://flightplandatabase.com/plan/792889"
"3979","•","LATKO","FIX","G111 (AWY-LO)","35,000 / 10,668","52.41889 / 66.74083","60  / 2438 nm","","https://flightplandatabase.com/plan/792889"
"3980","•","ATNON","FIX","G111 (AWY-LO)","35,000 / 10,668","52.19694 / 67.56389","33  / 2471 nm","","https://flightplandatabase.com/plan/792889"
"3981","•","ATBAN","FIX","G111 (AWY-LO)","35,000 / 10,668","51.97333 / 68.36444","32  / 2504 nm","","https://flightplandatabase.com/plan/792889"
"3982","•","OSROL","FIX","A373 (AWY-LO)","35,000 / 10,668","50.80500 / 70.02000","93  / 2597 nm","","https://flightplandatabase.com/plan/792889"
"3983","•","VETUB","FIX","A373 (AWY-LO)","35,000 / 10,668","50.68528 / 70.21389","10  / 2608 nm","","https://flightplandatabase.com/plan/792889"
"3984","•","BASPA","FIX","A373 (AWY-LO)","35,000 / 10,668","50.36222 / 70.66694","25  / 2634 nm","","https://flightplandatabase.com/plan/792889"
"3985","•","GURPI","FIX","A373 (AWY-LO)","35,000 / 10,668","49.93833 / 71.21000","32  / 2667 nm","","https://flightplandatabase.com/plan/792889"
"3986","•","NEDRO","FIX","A373 (AWY-LO)","35,000 / 10,668","49.27361 / 72.08333","52  / 2719 nm","","https://flightplandatabase.com/plan/792889"
"3987","•","LUTEK","FIX","A373 (AWY-LO)","35,000 / 10,668","48.48139 / 73.08306","61  / 2781 nm","","https://flightplandatabase.com/plan/792889"
"3988","•","AGADI","FIX","A373 (AWY-LO)","35,000 / 10,668","48.09972 / 73.56056","29  / 2811 nm","","https://flightplandatabase.com/plan/792889"
"3989","•","BAGIL","FIX","A373 (AWY-LO)","35,000 / 10,668","47.57361 / 74.17889","40  / 2851 nm","","https://flightplandatabase.com/plan/792889"
"3990","•","BLH","VOR","A373 (AWY-LO)","35,000 / 10,668","46.88111 / 74.98139","52  / 2904 nm","BALKHASH VOR-DME","https://flightplandatabase.com/plan/792889"
"3991","•","TEPLA","FIX","A360 (AWY-LO)","35,000 / 10,668","46.33000 / 75.71000","44  / 2949 nm","","https://flightplandatabase.com/plan/792889"
"3992","•","DITUR","FIX","A360 (AWY-LO)","35,000 / 10,668","45.96917 / 76.17556","29  / 2978 nm","","https://flightplandatabase.com/plan/792889"
"3993","•","NOMBA","FIX","A360 (AWY-LO)","35,000 / 10,668","45.62944 / 76.60667","27  / 3005 nm","","https://flightplandatabase.com/plan/792889"
"3994","•","OSNET","FIX","A360 (AWY-LO)","35,000 / 10,668","45.27250 / 77.05139","28  / 3033 nm","","https://flightplandatabase.com/plan/792889"
"3995","•","GUDOL","FIX","A360 (AWY-LO)","35,000 / 10,668","45.13972 / 77.21500","10  / 3044 nm","","https://flightplandatabase.com/plan/792889"
"3996","•","GINDO","FIX","A360 (AWY-LO)","35,000 / 10,668","45.02306 / 77.35750","9  / 3053 nm","","https://flightplandatabase.com/plan/792889"
"3997","•","NALIK","FIX","A360 (AWY-LO)","35,000 / 10,668","44.83917 / 77.58111","14  / 3068 nm","","https://flightplandatabase.com/plan/792889"
"3998","•","IDBAL","FIX","A360 (AWY-LO)","35,000 / 10,668","44.45750 / 78.03917","30  / 3098 nm","","https://flightplandatabase.com/plan/792889"
"3999","•","BASPI","FIX","A360 (AWY-LO)","35,000 / 10,668","43.72000 / 78.90056","57  / 3156 nm","","https://flightplandatabase.com/plan/792889"
"4000","•","ERULA","FIX","A360 (AWY-LO)","35,000 / 10,668","43.23472 / 79.45222","37  / 3194 nm","","https://flightplandatabase.com/plan/792889"
"4001","•","REVKI","FIX","A360 (AWY-LO)","35,000 / 10,668","42.54167 / 80.22000","53  / 3247 nm","","https://flightplandatabase.com/plan/792889"
"4002","•","KCA","VOR","A460 (AWY-LO)","35,000 / 10,668","41.71667 / 83.00000","133  / 3381 nm","KUQA VOR-DME","https://flightplandatabase.com/plan/792889"
"4003","•","4000N08500E","LATLON","-","35,000 / 10,668","40.00000 / 85.00000","137  / 3518 nm","","https://flightplandatabase.com/plan/792889"
"4004","•","3700N09000E","LATLON","-","35,000 / 10,668","37.00000 / 90.00000","296  / 3814 nm","","https://flightplandatabase.com/plan/792889"
"4005","•","3400N09500E","LATLON","-","35,000 / 10,668","34.00000 / 95.00000","303  / 4118 nm","","https://flightplandatabase.com/plan/792889"
"4006","•","3300N09500E","LATLON","-","35,000 / 10,668","33.00000 / 95.00000","60  / 4178 nm","","https://flightplandatabase.com/plan/792889"
"4007","•","RG","NDB","-","35,000 / 10,668","31.15167 / 97.17667","156  / 4334 nm","CHANGDU NDB","https://flightplandatabase.com/plan/792889"
"4008","•","PEXUN","FIX","B213 (AWY-LO)","35,000 / 10,668","30.93167 / 100.00000","145  / 4480 nm","","https://flightplandatabase.com/plan/792889"
"4009","•","3000N10000E","LATLON","-","35,000 / 10,668","30.00000 / 100.00000","55  / 4536 nm","","https://flightplandatabase.com/plan/792889"
"4010","•","SBNB","APT","-","35,000 / 10,668","27.73667 / 102.16333","177  / 4714 nm","","https://flightplandatabase.com/plan/792889"
"4011","•","KMG","VOR","6AW10 (AWY-LO)","35,000 / 10,668","25.01667 / 102.73333","166  / 4880 nm","KUNMING VOR-DME","https://flightplandatabase.com/plan/792889"
"4012","•","LXI","VOR","A599 (AWY-LO)","35,000 / 10,668","24.53833 / 103.74333","62  / 4942 nm","LUXI VOR-DME","https://flightplandatabase.com/plan/792889"
"4013","•","LAOCI","FIX","-","29,900 / 9,114","22.48667 / 103.96528","123  / 5066 nm","","https://flightplandatabase.com/plan/792889"
"4014","•","NOB","VOR","W6 (AWY-LO)","2,200 / 671","21.21302 / 105.83494","129  / 5195 nm","NOIBAI VOR-DME","https://flightplandatabase.com/plan/792889"
"4015","O","VVGL","APT","-","0 / 0","21.04097 / 105.88601","10  / 5206 nm","HANOI GIA LAM","https://flightplandatabase.com/plan/792889"
"4016","O","VVGL","APT","-","0 / 0","21.04097 / 105.88601","- / 0 nm","HANOI GIA LAM","https://flightplandatabase.com/plan/722908"
"4017","•","NOB","VOR","-","3,800 / 1,158","21.21302 / 105.83494","10  / 10 nm","NOIBAI VOR-DME","https://flightplandatabase.com/plan/722908"
"4018","•","LAOCI","FIX","W6 (AWY-LO)","35,000 / 10,668","22.48667 / 103.96528","129  / 139 nm","","https://flightplandatabase.com/plan/722908"
"4019","•","LXI","VOR","-","35,000 / 10,668","24.53833 / 103.74333","123  / 263 nm","LUXI VOR-DME","https://flightplandatabase.com/plan/722908"
"4020","•","KMG","VOR","A599 (AWY-LO)","35,000 / 10,668","25.01667 / 102.73333","62  / 325 nm","KUNMING VOR-DME","https://flightplandatabase.com/plan/722908"
"4021","•","SBNB","APT","6AW10 (AWY-LO)","35,000 / 10,668","27.73667 / 102.16333","166  / 492 nm","","https://flightplandatabase.com/plan/722908"
"4022","•","3000N10000E","LATLON","-","35,000 / 10,668","30.00000 / 100.00000","177  / 669 nm","","https://flightplandatabase.com/plan/722908"
"4023","•","PEXUN","FIX","-","35,000 / 10,668","30.93167 / 100.00000","55  / 725 nm","","https://flightplandatabase.com/plan/722908"
"4024","•","RG","NDB","B213 (AWY-LO)","35,000 / 10,668","31.15167 / 97.17667","145  / 871 nm","CHANGDU NDB","https://flightplandatabase.com/plan/722908"
"4025","•","3300N09500E","LATLON","-","35,000 / 10,668","33.00000 / 95.00000","156  / 1028 nm","","https://flightplandatabase.com/plan/722908"
"4026","•","3400N09500E","LATLON","-","35,000 / 10,668","34.00000 / 95.00000","60  / 1088 nm","","https://flightplandatabase.com/plan/722908"
"4027","•","3700N09000E","LATLON","-","35,000 / 10,668","37.00000 / 90.00000","303  / 1391 nm","","https://flightplandatabase.com/plan/722908"
"4028","•","4000N08500E","LATLON","-","35,000 / 10,668","40.00000 / 85.00000","296  / 1687 nm","","https://flightplandatabase.com/plan/722908"
"4029","•","KCA","VOR","-","35,000 / 10,668","41.71667 / 83.00000","137  / 1825 nm","KUQA VOR-DME","https://flightplandatabase.com/plan/722908"
"4030","•","REVKI","FIX","A460 (AWY-LO)","35,000 / 10,668","42.54167 / 80.22000","133  / 1958 nm","","https://flightplandatabase.com/plan/722908"
"4031","•","ERULA","FIX","A360 (AWY-LO)","35,000 / 10,668","43.23472 / 79.45222","53  / 2012 nm","","https://flightplandatabase.com/plan/722908"
"4032","•","BASPI","FIX","A360 (AWY-LO)","35,000 / 10,668","43.72000 / 78.90056","37  / 2049 nm","","https://flightplandatabase.com/plan/722908"
"4033","•","IDBAL","FIX","A360 (AWY-LO)","35,000 / 10,668","44.45750 / 78.03917","57  / 2107 nm","","https://flightplandatabase.com/plan/722908"
"4034","•","NALIK","FIX","A360 (AWY-LO)","35,000 / 10,668","44.83917 / 77.58111","30  / 2137 nm","","https://flightplandatabase.com/plan/722908"
"4035","•","GINDO","FIX","A360 (AWY-LO)","35,000 / 10,668","45.02306 / 77.35750","14  / 2152 nm","","https://flightplandatabase.com/plan/722908"
"4036","•","GUDOL","FIX","A360 (AWY-LO)","35,000 / 10,668","45.13972 / 77.21500","9  / 2161 nm","","https://flightplandatabase.com/plan/722908"
"4037","•","OSNET","FIX","A360 (AWY-LO)","35,000 / 10,668","45.27250 / 77.05139","10  / 2172 nm","","https://flightplandatabase.com/plan/722908"
"4038","•","NOMBA","FIX","A360 (AWY-LO)","35,000 / 10,668","45.62944 / 76.60667","28  / 2200 nm","","https://flightplandatabase.com/plan/722908"
"4039","•","DITUR","FIX","A360 (AWY-LO)","35,000 / 10,668","45.96917 / 76.17556","27  / 2227 nm","","https://flightplandatabase.com/plan/722908"
"4040","•","TEPLA","FIX","A360 (AWY-LO)","35,000 / 10,668","46.33000 / 75.71000","29  / 2257 nm","","https://flightplandatabase.com/plan/722908"
"4041","•","BLH","VOR","A360 (AWY-LO)","35,000 / 10,668","46.88111 / 74.98139","44  / 2301 nm","BALKHASH VOR-DME","https://flightplandatabase.com/plan/722908"
"4042","•","BAGIL","FIX","A373 (AWY-LO)","35,000 / 10,668","47.57361 / 74.17889","52  / 2354 nm","","https://flightplandatabase.com/plan/722908"
"4043","•","AGADI","FIX","A373 (AWY-LO)","35,000 / 10,668","48.09972 / 73.56056","40  / 2394 nm","","https://flightplandatabase.com/plan/722908"
"4044","•","LUTEK","FIX","A373 (AWY-LO)","35,000 / 10,668","48.48139 / 73.08306","29  / 2424 nm","","https://flightplandatabase.com/plan/722908"
"4045","•","NEDRO","FIX","A373 (AWY-LO)","35,000 / 10,668","49.27361 / 72.08333","61  / 2486 nm","","https://flightplandatabase.com/plan/722908"
"4046","•","GURPI","FIX","A373 (AWY-LO)","35,000 / 10,668","49.93833 / 71.21000","52  / 2538 nm","","https://flightplandatabase.com/plan/722908"
"4047","•","BASPA","FIX","A373 (AWY-LO)","35,000 / 10,668","50.36222 / 70.66694","32  / 2571 nm","","https://flightplandatabase.com/plan/722908"
"4048","•","VETUB","FIX","A373 (AWY-LO)","35,000 / 10,668","50.68528 / 70.21389","25  / 2597 nm","","https://flightplandatabase.com/plan/722908"
"4049","•","OSROL","FIX","A373 (AWY-LO)","35,000 / 10,668","50.80500 / 70.02000","10  / 2608 nm","","https://flightplandatabase.com/plan/722908"
"4050","•","ATBAN","FIX","A373 (AWY-LO)","35,000 / 10,668","51.97333 / 68.36444","93  / 2701 nm","","https://flightplandatabase.com/plan/722908"
"4051","•","ATNON","FIX","G111 (AWY-LO)","35,000 / 10,668","52.19694 / 67.56389","32  / 2734 nm","","https://flightplandatabase.com/plan/722908"
"4052","•","LATKO","FIX","G111 (AWY-LO)","35,000 / 10,668","52.41889 / 66.74083","33  / 2767 nm","","https://flightplandatabase.com/plan/722908"
"4053","•","DOKUT","FIX","G111 (AWY-LO)","35,000 / 10,668","52.80389 / 65.20833","60  / 2827 nm","","https://flightplandatabase.com/plan/722908"
"4054","•","UAUU","APT","G111 (AWY-LO)","35,000 / 10,668","53.20667 / 63.55083","64  / 2892 nm","KOSTANAY","https://flightplandatabase.com/plan/722908"
"4055","•","TITUR","FIX","G111 (AWY-LO)","35,000 / 10,668","53.40167 / 61.15667","86  / 2979 nm","","https://flightplandatabase.com/plan/722908"
"4056","•","MGR","VOR","G351 (AWY-LO)","35,000 / 10,668","53.40417 / 58.75750","85  / 3065 nm","MAGNITOGORSK VOR-DME","https://flightplandatabase.com/plan/722908"
"4057","•","SINAD","FIX","G234 (AWY-LO)","35,000 / 10,668","53.55861 / 57.75528","36  / 3102 nm","","https://flightplandatabase.com/plan/722908"
"4058","•","LP","NDB","G234 (AWY-LO)","35,000 / 10,668","53.96667 / 54.78333","108  / 3210 nm","SHAFRANOVO NDB","https://flightplandatabase.com/plan/722908"
"4059","•","UWUK","APT","G234 (AWY-LO)","35,000 / 10,668","54.43333 / 53.38333","56  / 3266 nm","","https://flightplandatabase.com/plan/722908"
"4060","•","UWKB","APT","G234 (AWY-LO)","35,000 / 10,668","54.64000 / 52.80167","23  / 3290 nm","","https://flightplandatabase.com/plan/722908"
