type,geometry,properties
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.92392,35.40979 ] }","{ ""name"": ""+35.41_+139.92""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.85138,35.41898 ] }","{ ""name"": ""+35.42_+139.85""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.85990,35.42281 ] }","{ ""name"": ""+35.42_+139.86""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.89244,35.42314 ] }","{ ""name"": ""+35.42_+139.89""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.90782,35.41591 ] }","{ ""name"": ""+35.42_+139.91""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.96876,35.42276 ] }","{ ""name"": ""+35.42_+139.97""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 140.03981,35.42273 ] }","{ ""name"": ""+35.42_+140.04""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.84830,35.43323 ] }","{ ""name"": ""+35.43_+139.85""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.87789,35.43145 ] }","{ ""name"": ""+35.43_+139.88""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.86428,35.44075 ] }","{ ""name"": ""+35.44_+139.86""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.90201,35.44259 ] }","{ ""name"": ""+35.44_+139.90""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.84370,35.44721 ] }","{ ""name"": ""+35.45_+139.84""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.85172,35.45098 ] }","{ ""name"": ""+35.45_+139.85""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 149.54947,35.44636 ] }","{ ""name"": ""+35.45_+149.55""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.83762,35.46081 ] }","{ ""name"": ""+35.46_+139.84""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.83011,35.47393 ] }","{ ""name"": ""+35.47_+139.83""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.84758,35.47982 ] }","{ ""name"": ""+35.48_+139.85""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 147.32706,35.48024 ] }","{ ""name"": ""+35.48_+147.33""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 143.67378,35.49391 ] }","{ ""name"": ""+35.49_+143.67""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 145.89692,35.52529 ] }","{ ""name"": ""+35.53_+145.90""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.76945,35.54701 ] }","{ ""name"": ""+35.547_+139.769""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 81.33654,35.61563 ] }","{ ""name"": ""+35.62_+081.34""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.72455,35.62264 ] }","{ ""name"": ""+35.62_+139.72""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.74206,35.62857 ] }","{ ""name"": ""+35.63_+139.74""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.71702,35.63576 ] }","{ ""name"": ""+35.64_+139.72""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.71093,35.64936 ] }","{ ""name"": ""+35.65_+139.71""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.70631,35.66334 ] }","{ ""name"": ""+35.66_+139.71""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.48226,35.66574 ] }","{ ""name"": ""+35.67_+139.48""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.68748,35.66577 ] }","{ ""name"": ""+35.67_+139.69""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.70322,35.67759 ] }","{ ""name"": ""+35.68_+139.70""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.54923,35.68555 ] }","{ ""name"": ""+35.69_+139.55""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.62050,35.68556 ] }","{ ""name"": ""+35.69_+139.62""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.67996,35.68529 ] }","{ ""name"": ""+35.69_+139.68""}"
Feature,"{ ""type"": ""Point"",""coordinates"": [ 139.70166,35.69201 ] }","{ ""name"": ""+35.69_+139.70""}"
